,BARRIO,HERIDOS,MUERTOS,SOLO_DAÑOS
19,Barrio Colón,1402,17,2212
43,Campo Amor,1944,24,2180
46,Caribe,2257,24,2156
103,Guayaquil,1415,34,2066
115,La Candelaria,2123,28,2935
167,Los Conquistadores,1639,20,2098
201,Perpetuo Socorro,1896,15,2212
211,San Benito,1471,28,1938
227,Santa Fé,1811,21,1545
